Name,U.S. Dollar Index
2024-03-11,102.8445
2024-03-08,102.742
2024-03-07,102.8058
2024-03-06,103.36699999999999
2024-03-05,103.783
2024-03-04,103.8343
2024-03-01,103.8849
2024-02-29,104.13589999999999
2024-02-28,103.9365
2024-02-27,103.8116
2024-02-26,103.77770000000001
2024-02-23,103.9738
2024-02-22,103.94059999999999
2024-02-21,103.986
2024-02-20,104.0599
2024-02-19,104.2525
2024-02-16,104.27659999999999
2024-02-15,104.26520000000001
2024-02-14,104.7252
2024-02-13,104.8646
2024-02-12,104.1446
2024-02-09,104.0736
2024-02-08,104.1405
2024-02-07,104.04990000000001
2024-02-06,104.1764
2024-02-05,104.4557
2024-02-02,103.96549999999999
2024-02-01,103.0629
2024-01-31,103.5235
2024-01-30,103.39690000000002
2024-01-29,103.468
2024-01-26,103.4744
2024-01-25,103.4839
2024-01-24,103.25829999999999
2024-01-23,103.5491
2024-01-22,103.34660000000001
2024-01-19,103.2317
2024-01-18,103.4048
2024-01-17,103.3728
2024-01-16,103.33599999999998
2024-01-15,102.5912
2024-01-12,102.44030000000001
2024-01-11,102.31
2024-01-10,102.35289999999999
2024-01-09,102.5125
2024-01-08,102.2903
2024-01-05,102.4395
2024-01-04,102.42530000000001
2024-01-03,102.46910000000001
2024-01-02,102.24600000000001
2024-01-01,101.322
2023-12-29,101.37780000000001
2023-12-28,101.2418
2023-12-27,100.9438
2023-12-26,101.45949999999999
2023-12-25,101.7027
2023-12-22,101.70309999999999
2023-12-21,101.74680000000001
2023-12-20,102.42679999999999
2023-12-19,102.1234
2023-12-18,102.5023
2023-12-15,102.5936
2023-12-14,101.9513
2023-12-13,102.9468
2023-12-12,103.8123
2023-12-11,104.08109999999999
2023-12-08,103.99799999999999
2023-12-07,103.64670000000001
2023-12-06,104.17790000000001
2023-12-05,103.94740000000002
2023-12-04,103.6354
2023-12-01,103.19519999999999
2023-11-30,103.5064
2023-11-29,102.86179999999999
2023-11-28,102.73089999999999
2023-11-27,103.2163
2023-11-24,103.4359
2023-11-23,103.76089999999999
2023-11-22,103.8731
2023-11-21,103.6092
2023-11-20,103.4892
2023-11-17,103.8218
2023-11-16,104.3757
2023-11-15,104.4005
2023-11-14,104.0765
2023-11-13,105.6703
2023-11-10,105.81020000000001
2023-11-09,105.9201
2023-11-08,105.5321
2023-11-07,105.5118
2023-11-06,105.28429999999999
2023-11-03,105.05409999999999
2023-11-02,106.13990000000001
2023-11-01,106.66
2023-10-31,106.7227
2023-10-30,106.13690000000001
2023-10-27,106.57900000000001
2023-10-26,106.62270000000001
2023-10-25,106.55789999999999
2023-10-24,106.2683
2023-10-23,105.59769999999999
2023-10-20,106.15540000000001
2023-10-19,106.2305
2023-10-18,106.56830000000001
2023-10-17,106.18820000000001
2023-10-16,106.1957
2023-10-13,106.6767
2023-10-12,106.5804
2023-10-11,105.7137
2023-10-10,105.7727
2023-10-09,106.07260000000001
2023-10-06,106.10709999999999
2023-10-05,106.3383
2023-10-04,106.7994
2023-10-03,107.07400000000001
2023-10-02,107.0315
2023-09-29,106.1919
2023-09-28,106.13459999999999
2023-09-27,106.70509999999999
2023-09-26,106.1786
2023-09-25,105.9485
2023-09-22,105.60979999999999
2023-09-21,105.3811
2023-09-20,105.35789999999999
2023-09-19,105.15019999999998
2023-09-18,105.0795
2023-09-15,105.3359
2023-09-14,105.34469999999999
2023-09-13,104.7748
2023-09-12,104.5706
2023-09-11,104.5399
2023-09-08,105.065
2023-09-07,105.05969999999999
2023-09-06,104.8371
2023-09-05,104.7968
2023-09-04,104.12030000000001
2023-09-01,104.2755
2023-08-31,103.62790000000001
2023-08-30,103.1659
2023-08-29,103.4681
2023-08-28,104.0093
2023-08-25,104.19390000000001
2023-08-24,103.9865
2023-08-23,103.3763
2023-08-22,103.6001
2023-08-21,103.3344
2023-08-18,103.4433
2023-08-17,103.42280000000001
2023-08-16,103.4449
2023-08-15,103.2066
2023-08-14,103.1633
2023-08-11,102.877
2023-08-10,102.6391
2023-08-09,102.50319999999999
2023-08-08,102.53670000000001
2023-08-07,102.0731
2023-08-04,102.0037
2023-08-03,102.47890000000001
2023-08-02,102.6348
2023-08-01,102.21249999999999
2023-07-31,101.8784
2023-07-28,101.713
2023-07-27,101.76
2023-07-26,101.02759999999999
2023-07-25,101.2675
2023-07-24,101.3905
2023-07-21,101.08569999999999
2023-07-20,100.82740000000001
2023-07-19,100.28909999999999
2023-07-18,99.94470000000001
2023-07-17,99.8982
2023-07-14,99.9633
2023-07-13,99.7569
2023-07-12,100.5948
2023-07-11,101.65090000000001
2023-07-10,101.9527
2023-07-07,102.22543
2023-07-06,103.1126
2023-07-05,103.36099999999999
2023-07-04,103.10419999999999
2023-07-03,102.973
2023-06-30,103.3788
2023-06-29,103.3788
2023-06-28,102.9984
2023-06-27,102.50800000000001
2023-06-26,102.7006
2023-06-23,102.88170000000001
2023-06-22,102.4009
2023-06-21,102.08590000000001
2023-06-20,102.53940000000001
2023-06-19,102.4969
2023-06-16,102.31530000000001
2023-06-15,102.1415
2023-06-14,103.0139
2023-06-13,103.28850000000001
2023-06-12,103.62750000000001
2023-06-09,103.55619999999999
2023-06-08,103.3204
2023-06-07,104.1241
2023-06-06,104.1508
2023-06-05,104.01150000000001
2023-06-02,104.04599999999999
2023-06-01,103.5515
2023-05-31,104.2208
2023-05-30,104.04939999999999
2023-05-29,104.2907
2023-05-26,104.21340000000001
2023-05-25,104.2269
2023-05-24,103.9102
2023-05-23,103.5299
2023-05-22,103.2461
2023-05-19,103.19210000000001
2023-05-18,103.5529
2023-05-17,102.8832
2023-05-16,102.6049
2023-05-15,102.4377
2023-05-12,102.704
2023-05-11,102.0789
2023-05-10,101.4375
2023-05-09,101.6549
2023-05-08,101.39080000000001
2023-05-05,101.29039999999999
2023-05-04,101.4337
2023-05-03,101.2728
2023-05-02,101.95349999999999
2023-05-01,102.10069999999999
2023-04-28,101.66449999999999
2023-04-27,101.4812
2023-04-26,101.4453
2023-04-25,101.84759999999999
2023-04-24,101.3411
2023-04-21,101.72010000000002
2023-04-20,101.78790000000001
2023-04-19,101.94999999999999
2023-04-18,101.7368
2023-04-17,102.10410000000002
2023-04-14,101.5775
2023-04-13,101.0148
2023-04-12,101.5297
2023-04-11,102.15129999999999
2023-04-10,102.55290000000001
2023-04-07,102.1053
2023-04-06,101.9172
2023-04-05,101.89589999999998
2023-04-04,101.57879999999999
2023-04-03,102.0654
2023-03-31,102.59700000000001
2023-03-30,102.1786
2023-03-29,102.6526
2023-03-28,102.422
2023-03-27,102.84440000000001
2023-03-24,103.10600000000001
2023-03-23,102.6068
2023-03-22,102.5608
2023-03-21,103.2197
2023-03-20,103.2992
2023-03-17,103.8637
2023-03-16,104.44720000000001
2023-03-15,104.7549
2023-03-14,103.6712
2023-03-13,103.6186
2023-03-10,104.6502
2023-03-09,105.24319999999999
2023-03-08,105.6928
2023-03-07,105.6286
2023-03-06,104.26939999999999
2023-03-03,104.52879999999999
